Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,1.889499,2.121543,1.836460,2.035355,1.821022,54723149
2020-06-15,1.959112,1.986294,1.922648,1.962427,1.755774,34185945
2020-06-16,2.136791,2.234250,2.041985,2.072482,1.854240,45839792
2020-06-17,2.072482,2.144747,1.973698,2.002206,1.791364,29395607
2020-06-18,1.965742,2.035355,1.939886,1.975687,1.767638,22835351
2020-06-19,2.002206,2.031377,1.957123,1.990935,1.781280,15977688
2020-06-22,1.988946,1.988946,1.872261,1.902096,1.701796,27889843
2020-06-23,1.917344,1.949167,1.863643,1.864969,1.668579,17198504
2020-06-24,1.856350,1.876239,1.685300,1.692593,1.514355,38814658
2020-06-25,1.666074,1.721101,1.599776,1.669389,1.493594,30138064
2020-06-26,1.723753,1.750273,1.617676,1.630936,1.459191,26068013
2020-06-29,1.624306,1.690604,1.602428,1.674030,1.497746,18535265
2020-06-30,1.703864,1.715798,1.601765,1.621654,1.450886,14861237
2020-07-01,1.615687,1.650162,1.552041,1.614361,1.444361,19784544
2020-07-02,1.657455,1.737013,1.638229,1.699886,1.699886,21936805
2020-07-03,1.725079,1.750273,1.658118,1.673367,1.673367,15137774
2020-07-06,1.722427,1.743643,1.658781,1.670715,1.670715,19653049
2020-07-07,1.657455,1.677345,1.622317,1.633588,1.633588,13534375
2020-07-08,1.600439,1.608394,1.558671,1.565301,1.565301,17029918
2020-07-09,1.583864,1.597787,1.527511,1.541433,1.541433,14273057
2020-07-10,1.524859,1.581875,1.491710,1.574582,1.574582,15216831
2020-07-13,1.617676,1.624306,1.559997,1.574582,1.574582,11622997
2020-07-14,1.540770,1.547400,1.473146,1.514251,1.514251,18729692
2020-07-15,1.561986,1.698560,1.548063,1.680660,1.680660,24474771
2020-07-16,1.647510,1.703864,1.628284,1.634914,1.634914,15126546
2020-07-17,1.628947,1.632925,1.567290,1.589831,1.589831,10462026
2020-07-20,1.572593,1.583864,1.528837,1.548063,1.548063,13331017
2020-07-21,1.591157,1.654803,1.577897,1.599113,1.599113,20160474
2020-07-22,1.579886,1.610383,1.524859,1.559997,1.559997,11869409
2020-07-23,1.567290,1.575245,1.508947,1.524859,1.524859,9120394
